Website Name,Website URL,Contact Name,Subject Line,Email Body,Status
"Muscle & Fitness","muscleandfitness.com","Editor","Optimize Your Stack: Cordyceps Tool","Hi Team,\n\nWe've launched a tool to help your readers dial in their supplement stack.\n\nThe **Synervion Calculator** gives precise Cordyceps recommendations for muscle recovery.\n\nLink: [Link to Calculator]\n\nWorth a share?\n\nBest,\n[Your Name]","Ready to Send"
"Stack3d","stack3d.com","Editor","New Tech from Synervion","Hi Team,\n\nWe just dropped a new digital tool: A **Functional Mushroom Goal-Based Calculator**.\n\nIt's a clean, interactive way for users to find their ideal Cordyceps dose.\n\nCheck it: [Link to Calculator]\n\nThought this might be news-worthy for the industry.\n\nBest,\n[Your Name]","Ready to Send"
"Examine.com","examine.com","Editor","Interactive Dosage Guide for Cordyceps","Hi Team,\n\nHuge fan of your research. We've tried to make that research actionable with a new calculator.\n\nIt helps users apply dosage guidelines to their specific context.\n\nLink: [Link to Calculator]\n\nCould be a useful 'external tool' link on your Cordyceps page.\n\nBest,\n[Your Name]","Ready to Send"
"Labdoor Magazine","magazine.labdoor.com","Editor","Quality & Quantity: New Dosage Tool","Hi Team,\n\nYou test for quality; we help with quantity. We built a calculator to ensure users are taking an effective dose of Cordyceps.\n\nLink: [Link to Calculator]\n\nA great complementary resource for your readers.\n\nBest,\n[Your Name]","Ready to Send"
"Onnit Academy","onnit.com/academy","Editor","Total Human Optimization: The Calculator","Hi Team,\n\nOptimization requires precision. Our new tool calculates the precise Cordyceps dose for flow state and focus.\n\nLink: [Link to Calculator]\n\nAligns perfectly with the Onnit philosophy.\n\nBest,\n[Your Name]","Ready to Send"
"Spartan Life","life.spartan.com","Editor","Unbreakable Lungs: New Tool","Hi Team,\n\nFor the Spartan racer, lung capacity is everything. We built a calculator to help them maximize it with Cordyceps.\n\nLink: [Link to Calculator]\n\nWould be a great tool for your training articles.\n\nAroo,\n[Your Name]","Ready to Send"
"CrossFit Journal","journal.crossfit.com","Editor","WOD Fuel: Cordyceps Calculator","Hi Team,\n\nCrossFitters need engine. Cordyceps gives engine. But how much?\n\nOur calculator answers that based on training volume.\n\nLink: [Link to Calculator]\n\nCheck it out.\n\nBest,\n[Your Name]","Ready to Send"
"Ironman.com","ironman.com","Editor","Going the Distance: Supplement Calculator","Hi Team,\n\nIronman training demands precision nutrition. We built a tool to help athletes dose Cordyceps for those long brick sessions.\n\nLink: [Link to Calculator]\n\nA valuable resource for your athletes.\n\nBest,\n[Your Name]","Ready to Send"
"Runner's World","runnersworld.com","Editor","New Tool for Runners: Dosage Calculator","Hi Team,\n\nWe made a simple tool to help runners figure out their Cordyceps needs for marathon season.\n\nLink: [Link to Calculator]\n\nWould love to see it shared.\n\nBest,\n[Your Name]","Ready to Send"
"Outside Online","outsideonline.com","Editor","Adventure Ready: Mushroom Calculator","Hi Team,\n\nFor the outdoor enthusiast, energy is key. We built a calculator to help them pack the right amount of Cordyceps.\n\nLink: [Link to Calculator]\n\nFun tool for your gear/nutrition section.\n\nBest,\n[Your Name]","Ready to Send"
"Lava Magazine","lavamagazine.com","Editor","Triathlon Tech: Dosage Calculator","Hi Team,\n\nA quick note about a new tool for triathletes to optimize their supplementation.\n\nLink: [Link to Calculator]\n\nHope you find it useful.\n\nBest,\n[Your Name]","Ready to Send"
"Slowtwitch","slowtwitch.com","Editor","Forum Resource: Cordyceps Calculator","Hi Team,\n\nThought your forum members might dig this new calculator for dialing in supplement dosages.\n\nLink: [Link to Calculator]\n\nCheers,\n[Your Name]","Ready to Send"
"TrainingPeaks Blog","trainingpeaks.com/blog","Editor","Data-Driven Nutrition: New Tool","Hi Team,\n\nYou guys are all about the data. So is our new Cordyceps calculator.\n\nLink: [Link to Calculator]\n\nHelps athletes plan their nutrition as precisely as their training stress score.\n\nBest,\n[Your Name]","Ready to Send"
"Strava Blog","blog.strava.com","Editor","Fuel Your Segment: New Calculator","Hi Team,\n\nHelping athletes crush their PRs with better dosing precision.\n\nLink: [Link to Calculator]\n\nCheck it out.\n\nBest,\n[Your Name]","Ready to Send"
"MyFitnessPal Blog","blog.myfitnesspal.com","Editor","Track Your Macros & Micros","Hi Team,\n\nA new tool to help users figure out their micro-nutrition needs for functional mushrooms.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Verywell Fit","verywellfit.com","Editor","New Interactive Health Tool","Hi Team,\n\nWe've launched a calculator to help people use supplements more safely and effectively.\n\nLink: [Link to Calculator]\n\nWould make a great addition to your tools section.\n\nBest,\n[Your Name]","Ready to Send"
"Livestrong","livestrong.com","Editor","Stronger with Science: Dosage Tool","Hi Team,\n\nHelping your readers live stronger with precise supplementation guidance.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Eat This, Not That","eatthis.com","Editor","Don't Eat That (Dose), Eat This","Hi Team,\n\nA fun tool to help people stop overdosing or underdosing on trendy mushrooms.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Nutrition facts","nutritionfacts.org","Dr. Greger","Plant-Based Performance Tool","Hi Dr. Greger,\n\nA tool to help plant-based athletes optimize their mushroom intake.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Dr. Axe","draxe.com","Editor","Ancient Medicine, Modern Math","Hi Team,\n\nCombining TCM with modern algorithms to find the perfect dose.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Mark's Daily Apple","marksdailyapple.com","Mark","Primal Blueprint + Precision","Hi Mark,\n\nFor the primal community, a tool to optimize natural supplementation.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Robb Wolf","robbwolf.com","Robb","Paleo Precision Tool","Hi Robb,\n\nA calculator to help the paleo crowd get their mushroom dosage right.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Chris Kresser","chriskresser.com","Chris","Functional Medicine Tool","Hi Chris,\n\nA tool that aligns with the functional approach to individualize health.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"FoundMyFitness","foundmyfitness.com","Rhonda","Sulforaphane... and Cordyceps?","Hi Rhonda,\n\nWe know you love the science. We built a calculator based on it.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Tim Ferriss Blog","tim.blog","Tim","4-Hour Body Supplementation","Hi Tim,\n\nMinimum Effective Dose. That's what this calculator finds for Cordyceps.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Peter Attia","peterattiamd.com","Peter","Longevity & Dosage","Hi Peter,\n\nPrecision is key for longevity. Our calculator helps dial it in.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Huberman Lab Fan Site","hubermanlab.com","Andrew","Dopamine & Cordyceps","Hi Andrew,\n\nA tool to help optimize the stack for focus and drive.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Quantified Self","quantifiedself.com","Editor","Quantify Your Intake","Hi Team,\n\nA tool for the self-tracker to log precise dosages.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Biohacking.com","biohacking.com","Editor","The Biohacker's Calculator","Hi Team,\n\nEssential utility for the modern biohacker.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Natural News","naturalnews.com","Editor","Natural Health Tool","Hi Team,\n\nEmpowering people with tools to manage their own health.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Mercola","mercola.com","Dr. Mercola","Take Control of Your Dosage","Hi Dr. Mercola,\n\nA tool to help your readers take control of their supplementation.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
"Global Healing","globalhealing.com","Editor","Holistic Health Calculator","Hi Team,\n\nA holistic approach to finding the right balance.\n\nLink: [Link to Calculator]\n\nBest,\n[Your Name]","Ready to Send"
